source_pdf,pages,text_extracted,tables_detected,projects_detected,reporting_month_detected,ocr_used,extraction_status,confidence
FR_JAN_2002.pdf,17,True,0,0,2002-01,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_JAN_2003.pdf,23,True,0,0,2003-01,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_APril_2020.pdf,598,True,526,9327,2020-04,False,SUCCESS,1.0
FR_DEC_2012.pdf,181,True,110,1828,2012-12,False,SUCCESS,1.0
FR_Dec_2013.pdf,218,True,166,3182,2013-12,False,SUCCESS,1.0
FR_JAN_2010.pdf,61,True,28,619,2010-01,False,SUCCESS,1.0
FR_JULY_2001.pdf,16,True,0,0,2001-07,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_JULY_2002.pdf,22,True,0,0,2002-07,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_JAN_2011.pdf,82,True,36,661,2011-01,False,SUCCESS,1.0
FR_JULY_2009.pdf,60,True,0,0,2009-07,False,NO_PROJECTS_FOUND,0.0
FR_FEB_2012.pdf,156,True,110,1924,2012-02,False,SUCCESS,1.0
FR_FEB_2013.pdf,175,True,108,1810,2013-02,False,SUCCESS,1.0
FR_JUNE_2001.pdf,16,True,0,0,2001-06,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_JUNE_2002.pdf,25,True,0,0,2002-06,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_JULY_2010.pdf,71,True,35,635,2010-07,False,SUCCESS,1.0
FR_JAN_2012.pdf,144,True,99,1860,2012-01,False,SUCCESS,1.0
FR_JUNE_2009.pdf,52,True,0,0,2009-06,False,NO_PROJECTS_FOUND,0.0
FR_APril_2023.pdf,758,True,667,10984,2023-04,False,SUCCESS,1.0
FR_JAn_2013_new.pdf,176,True,109,1834,2013-01,False,SUCCESS,1.0
FR_JULY_2011.pdf,145,True,100,1882,2011-07,False,SUCCESS,1.0
FR_JUNE_2025.pdf,234,True,4,50,2025-06,False,SUCCESS,1.0
FR_JUNE_2011.pdf,126,True,82,1626,2011-06,False,SUCCESS,1.0
FR_JULY_2012.pdf,153,True,91,1672,2012-07,False,SUCCESS,1.0
FR_MAR_2002.pdf,17,True,0,0,2002-03,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_MAR_2003.pdf,24,True,0,0,2003-03,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_MARCH_2010.pdf,66,True,29,631,2010-03,False,SUCCESS,1.0
FR_MAR_2009.pdf,41,True,11,233,2009-03,False,SUCCESS,1.0
FR_MAY_2001.pdf,16,True,0,0,2001-05,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_MAY_2002.pdf,17,True,0,0,2002-05,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_JUNE_2012.pdf,147,True,106,1846,2012-06,False,SUCCESS,1.0
FR_MAY_2007.pdf,36,True,0,0,2007-05,False,NO_PROJECTS_FOUND,0.0
FR_JUN_2013.pdf,174,True,131,2539,2013-06,False,SUCCESS,1.0
FR_MARCH_2011.pdf,94,True,47,958,2011-03,False,SUCCESS,1.0
FR_July_2013.pdf,197,True,158,3169,2013-07,False,SUCCESS,1.0
FR_May_2010.pdf,54,True,24,518,2010-05,False,SUCCESS,1.0
FR_NOV_2001.pdf,17,True,0,0,2001-11,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_NOV_2002.pdf,23,True,0,0,2002-11,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_May2025.pdf,212,True,4,51,2025-05,False,SUCCESS,1.0
FR_MAY_2013.pdf,156,True,113,1966,2013-05,False,SUCCESS,1.0
FR_MAY_2011.pdf,123,True,56,1166,2011-05,False,SUCCESS,1.0
FR_MARCH_2012.pdf,157,True,115,2011,2012-03,False,SUCCESS,1.0
FR_NOV_2009.pdf,56,True,25,549,2009-11,False,SUCCESS,1.0
FR_MAR_2013.pdf,174,True,110,1822,2013-03,False,SUCCESS,1.0
FR_MAY_2012.pdf,147,True,105,1897,2012-05,False,SUCCESS,1.0
FR_OCT_2001.pdf,17,True,0,0,2001-10,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_OCT_2002.pdf,22,True,0,0,2002-10,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_NOV_2010.pdf,76,True,38,674,2010-11,False,SUCCESS,1.0
FR_OCT_2007.pdf,38,True,0,0,2007-10,False,NO_PROJECTS_FOUND,0.0
FR_OCT_2009.pdf,53,True,22,503,2009-10,False,SUCCESS,1.0
FR_NOV_2011.pdf,136,True,92,1722,2011-11,False,SUCCESS,1.0
FR_Nov_2013.pdf,206,True,154,3011,2013-11,False,SUCCESS,1.0
FR_NOV_2012.pdf,177,True,105,1758,2012-11,False,SUCCESS,1.0
FR_SEP_2001.pdf,17,True,0,0,2001-09,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_SEP_2002.pdf,22,True,0,0,2002-09,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_OCT_2010.pdf,76,True,36,647,2010-10,False,SUCCESS,1.0
FR_OCTOBER_2012 (1).pdf,181,True,107,1754,2012-10,False,SUCCESS,1.0
FR_SEP_2009.pdf,50,True,20,457,2009-09,False,SUCCESS,1.0
FR_OCTOBER_2012.pdf,181,True,107,1754,2012-10,False,SUCCESS,1.0
FR_OCT_2011.pdf,137,True,94,1726,2011-10,False,SUCCESS,1.0
FR_Oct_2013.pdf,209,True,158,3074,2013-10,False,SUCCESS,1.0
FR_aug_2014.pdf,168,True,117,2033,2014-08,False,SUCCESS,1.0
FR_SEPTEMBER_2012.pdf,155,True,98,1711,2012-09,False,SUCCESS,1.0
FR_SEP_2011.pdf,138,True,93,1690,2011-09,False,SUCCESS,1.0
FR_Sep_2013.pdf,193,True,156,3171,2013-09,False,SUCCESS,1.0
FR_aug_2015.pdf,281,True,226,4173,2015-08,False,SUCCESS,1.0
FR_aug_2016.pdf,377,True,332,6133,2016-08,False,SUCCESS,1.0
FR_aug_2017.pdf,383,True,317,5755,2017-08,False,SUCCESS,1.0
FR_dec_2014.pdf,226,True,154,2954,2014-12,False,SUCCESS,1.0
FR_aug_Report_2018.pdf,535,True,464,8169,2018-08,False,SUCCESS,1.0
FR_aug_Report_2019.pdf,605,True,535,9525,2019-08,False,SUCCESS,1.0
FR_august_2020.pdf,622,True,545,9337,2020-08,False,SUCCESS,1.0
FR_aug_2021.pdf,741,True,659,11349,2021-08,False,SUCCESS,1.0
FR_august_2022.pdf,714,True,616,10232,2022-08,False,SUCCESS,1.0
FR_dec_2016.pdf,352,True,290,5393,2016-12,False,SUCCESS,1.0
FR_dec_2015.pdf,367,True,293,5437,2015-12,False,SUCCESS,1.0
FR_dec_2023.pdf,20,True,0,0,2023-12,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_dec_2017.pdf,421,True,354,5963,2017-12,False,SUCCESS,1.0
FR_august_2023.pdf,832,True,738,11898,2023-08,False,SUCCESS,1.0
FR_feb_2014.pdf,212,True,162,3073,2014-02,False,SUCCESS,1.0
FR_dec_2020 (1).pdf,737,True,636,10956,2020-12,False,SUCCESS,1.0
FR_dec_2020.pdf,737,True,636,10956,2020-12,False,SUCCESS,1.0
FR_feb_2015.pdf,272,True,184,3282,2015-02,False,SUCCESS,1.0
FR_dec_Report_2018.pdf,527,True,457,8185,2018-12,False,SUCCESS,1.0
FR_dec_2021.pdf,724,True,647,11127,2021-12,False,SUCCESS,1.0
FR_dec_2022.pdf,717,True,625,10197,2022-12,False,SUCCESS,1.0
FR_dec_Report_2019.pdf,642,True,570,9977,2019-12,False,SUCCESS,1.0
FR_feb_2016.pdf,352,True,296,5350,2016-02,False,SUCCESS,1.0
FR_feb_2017.pdf,381,True,311,5674,2017-02,False,SUCCESS,1.0
FR_feb_2018.pdf,392,True,322,5874,2018-02,False,SUCCESS,1.0
FR_feb_Report_2019.pdf,171,True,105,1986,2019-02,False,SUCCESS,1.0
FR_jan_2014.pdf,218,True,167,3155,2014-01,False,SUCCESS,1.0
FR_feb_2020.pdf,623,True,547,9689,2020-02,False,SUCCESS,1.0
FR_jan_2015.pdf,301,True,214,4124,2015-01,False,SUCCESS,1.0
